Product ID,Store ID,Predicted Demand,Stock Levels,Supplier Lead Time (days),Stockout Frequency,Reorder Point,Expiry Date,Warehouse Capacity,Order Fulfillment Time (days),Action
4605,37,246.30424509317407,896,6,15,29,2024-01-03,2960,13,Stock OK
8167,99,261.8116565696422,482,16,12,172,2024-01-11,2937,7,Stock OK
8730,45,258.9811091209776,13,22,7,51,2024-06-24,2140,4,Reorder
5186,14,240.4841906090245,776,24,0,195,2024-05-20,2413,7,Stock OK
3753,39,253.1357741786969,924,1,11,61,2024-12-30,4866,1,Stock OK
1400,23,245.62973784352116,398,15,3,77,2024-07-15,1913,7,Stock OK
5108,66,244.21260470171427,415,7,2,90,2024-10-04,4404,13,Stock OK
8187,93,248.4419521852688,392,1,15,90,2024-05-31,2190,3,Stock OK
8187,93,260.8973920249448,392,1,15,90,2024-05-31,2190,3,Stock OK
6473,89,254.8242113288757,524,15,11,65,2024-04-27,3444,9,Stock OK
1729,26,247.71128280082863,677,11,10,68,2024-08-11,3553,3,Stock OK
7960,7,238.22923389568692,128,22,0,128,2024-08-31,4120,4,Reorder
6417,75,243.81499264069072,404,15,3,132,2024-03-21,1948,9,Stock OK
2518,54,249.79071185194505,100,29,0,79,2024-01-22,3095,7,Reorder
6940,43,249.37461526838965,914,11,16,179,2024-08-08,2197,4,Stock OK
6081,68,254.66486742690384,680,9,0,187,2024-09-08,1755,1,Stock OK
3383,23,236.84492488091524,567,28,1,76,2024-12-11,3922,3,Stock OK
3722,70,253.7906802998996,139,7,6,26,2024-08-10,2197,2,Reorder
8222,88,248.76562608317,635,10,17,151,2024-12-23,2734,3,Stock OK
7658,20,253.5793668360494,74,18,1,152,2024-09-09,4676,6,Reorder
1971,38,246.322203684094,195,25,17,168,2024-03-05,2060,3,Reorder
3613,33,250.4678116685754,220,28,8,100,2024-11-08,4451,3,Reorder
7024,89,252.92235519537024,441,28,12,152,2024-06-03,3844,5,Stock OK
4443,75,249.71019071642164,518,19,10,75,2024-01-11,1418,14,Stock OK
6583,94,240.69320331284692,184,3,8,81,2024-04-30,1613,3,Reorder
